User ID	User Name	User URL	playlist_count	track_count	CITY	followers_count	followings_count	likes_count	avatar_url	created_at	kind
7690050	Fuat Alkan	https://soundcloud.com/protegemoi-1	0	17	Istanbul	1518	26	47	https://i1.sndcdn.com/avatars-000006691095-m5sbki-large.jpg	2011-09-27T16:33:08Z	user
3411696	Tina Guo	https://soundcloud.com/tinaguo	4	109	Los Angeles	6515	6	17	https://i1.sndcdn.com/avatars-000182154929-vvgexn-large.jpg	2011-03-01T00:47:11Z	user
55881470	Tartalo Music	https://soundcloud.com/tartalomusic	11	97	Bilbao	1528	43	100	https://i1.sndcdn.com/avatars-D6C5JvlM0FgKZxZ5-mmYOqg-large.jpg	2013-08-27T10:10:51Z	user
22341042	Adrian von Ziegler	https://soundcloud.com/adrian-von-ziegler	0	14	Zürich	11420	14	9	https://i1.sndcdn.com/avatars-000071957155-5oljrd-large.jpg	2012-08-17T18:27:35Z	user
13806475	Andrea Carri	https://soundcloud.com/andreacarri	5	29	Campegine	651	183	54	https://i1.sndcdn.com/avatars-000063001528-1obl90-large.jpg	2012-03-18T13:34:27Z	user
9342357	Sebastian Morawietz	https://soundcloud.com/sebastianmorawietz	22	95	Berlin	2662	166	708	https://i1.sndcdn.com/avatars-6sJHQpEbxmK2zfn7-qKHTGQ-large.jpg	2011-11-29T13:50:18Z	user
26169394	Talquin	https://soundcloud.com/talquin	1	9	Tallahassee/Miami/Nashville	555	10	8	https://i1.sndcdn.com/avatars-000062983724-gp6eq3-large.jpg	2012-10-15T05:39:25Z	user
8519674	max narziss demian	https://soundcloud.com/max-demian-2	0	17	Istanbul	94	22	23	https://i1.sndcdn.com/avatars-000064079416-8xlrzz-large.jpg	2011-10-30T22:02:43Z	user
3720036	Joe Alexander Shepherd	https://soundcloud.com/joe-shepherd	2	78	York	4766	41	187	https://i1.sndcdn.com/avatars-000426582879-5wc8qx-large.jpg	2011-03-18T15:58:20Z	user
33260309	ChristianSmith	https://soundcloud.com/christiansmith-7	6	42	England	3789	574	259	https://i1.sndcdn.com/avatars-bzmSywPe6alPBoN7-k8ki2Q-large.jpg	2013-01-18T18:36:06Z	user
82043641	Anıl Meydan	https://soundcloud.com/an-l-meydan	6	78	Ankara	3938	973	1235	https://i1.sndcdn.com/avatars-lGDxH9V9TpIxTIkc-ERbU1Q-large.jpg	2014-02-26T11:31:55Z	user
74622056	Dirk Maassen Official	https://soundcloud.com/dirk-maassen-official	4	71	Ulm	8019	8	199	https://i1.sndcdn.com/avatars-000323246869-9ef504-large.jpg	2014-01-11T21:26:31Z	user
140212593	samsonmusic	https://soundcloud.com/samsonmusic-1	1	42	De Rijp	1091	92	178	https://i1.sndcdn.com/avatars-000341445079-67oyb1-large.jpg	2015-02-24T14:50:43Z	user
6828606	Roma Yagnik	https://soundcloud.com/rey-10	25	114	Newcastle Upon Tyne	929	862	85	https://i1.sndcdn.com/avatars-000005520840-kxua7b-large.jpg	2011-08-20T15:14:14Z	user
177502437	orangesky	https://soundcloud.com/orangesky-722097371	13	1	Berlin	104	251	376	https://i1.sndcdn.com/avatars-000179989722-ao8tu4-large.jpg	2015-09-29T19:01:30Z	user
9844486	Kerani Official	https://soundcloud.com/kerani-music	0	0	Maastricht	245	140	2	https://i1.sndcdn.com/avatars-czLypz97x06jFOnM-Uw52Ag-large.jpg	2011-12-16T10:08:25Z	user
163499938	Ezio Bosso	https://soundcloud.com/ezio-bosso-1	0	1		1525	0	0	https://i1.sndcdn.com/avatars-000154903225-lqsrym-large.jpg	2015-07-17T05:46:03Z	user
19319849	Ben Fehr	https://soundcloud.com/ben-fehr	0	7	London	2121	174	52	https://i1.sndcdn.com/avatars-000393212637-smkyrg-large.jpg	2012-06-26T17:01:35Z	user
42553396	Niklas Aman	https://soundcloud.com/niklasaman	0	5	Stockholm	2000	11	63	https://i1.sndcdn.com/avatars-000544036869-5uxxs2-large.jpg	2013-04-22T06:38:01Z	user
13924751	Tom Will Hill	https://soundcloud.com/tomwillhill-soundtracks	5	78	Nottingham	484	30	23	https://i1.sndcdn.com/avatars-zBI7y8F46eNp4gwN-Z2zzcg-large.jpg	2012-03-20T20:21:55Z	user
511721	max richter	https://soundcloud.com/max-richter	53	937	Berlin	74805	14	0	https://i1.sndcdn.com/avatars-000088948643-8cbey8-large.jpg	2010-01-10T20:37:35Z	user
77091216	Gentle Jammers	https://soundcloud.com/gentle-jammers	27	569		1159	818	29	https://i1.sndcdn.com/avatars-FUXqO6eJpkvJ8QpQ-iysHsA-large.jpg	2014-01-25T15:45:04Z	user
42474682	Blüme	https://soundcloud.com/elpis-studio	1	15	home	989	391	462	https://i1.sndcdn.com/avatars-F6NzragX790vkEOz-ydXdlw-large.jpg	2013-04-21T11:57:34Z	user
58996066	Sasha Bakman	https://soundcloud.com/sasha-bakman	2	48	Haifa	371	106	357	https://i1.sndcdn.com/avatars-000286381907-94rqv7-large.jpg	2013-09-20T22:36:18Z	user
3139567	Cyrus Reynolds	https://soundcloud.com/cyrusreynolds	6	54	Los Angeles	4507	203	258	https://i1.sndcdn.com/avatars-000512473044-n7qnt5-large.jpg	2011-02-13T16:36:54Z	user
